
Balance de criminalidad. 2022 - 4º Trimestre - CCAA
Indicadores de seguridad 2022 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,Enero-diciembre 2019,Enero-diciembre 2021,Enero-diciembre 2022,Variación % 2022/2019,Variación % 2022/2021,
    7.1.-Robos con fuerza en domicilios,5018.0,4350.0,5113.0,1.9,17.5,
    8. Hurtos,30254.0,22253.0,29231.0,-3.4,31.4,
    9. Sustracciones de vehículos,890.0,694.0,718.0,-19.3,3.5,
    10. Tráfico de drogas,421.0,525.0,622.0,47.7,18.5,
    11. Resto de criminalidad convencional,36536.0,34722.0,38134.0,4.4,9.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),14837.0,16798.0,20867.0,40.6,24.2,
    12.-Estafas informáticas,13793.0,15016.0,18825.0,36.5,25.4,
    13.-Otros ciberdelitos,1044.0,1782.0,2042.0,95.6,14.6,
    III. TOTAL INFRACCIONES PENALES,94536.0,84781.0,101721.0,7.6,20.0,
RIOJA (LA),
    I. CRIMINALIDAD CONVENCIONAL,7630.0,7011.0,9332.0,22.3,33.1,
    1. Homicidios dolosos y asesinatos consumados,0.0,3.0,1.0,100.0,-66.7,
    2. Homicidios dolosos y asesinatos en grado tentativa,5.0,5.0,8.0,60.0,60.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,143.0,161.0,198.0,38.5,23.0,
    4. Secuestro,0.0,0.0,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,83.0,92.0,101.0,21.7,9.8,
    5.1.-Agresión sexual con penetración,9.0,9.0,12.0,33.3,33.3,
    5.2.-Resto de delitos contra la libertad sexual,74.0,83.0,89.0,20.3,7.2,
    6. Robos con violencia e intimidación,91.0,116.0,121.0,33.0,4.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,552.0,496.0,709.0,28.4,42.9,
    7.1.-Robos con fuerza en domicilios,437.0,397.0,524.0,19.9,32.0,
    8. Hurtos,2415.0,1789.0,2744.0,13.6,53.4,
    9. Sustracciones de vehículos,69.0,59.0,79.0,14.5,33.9,
    10. Tráfico de drogas,105.0,75.0,98.0,-6.7,30.7,
    11. Resto de criminalidad convencional,4167.0,4215.0,5273.0,26.5,25.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1120.0,2104.0,2465.0,120.1,17.2,
    12.-Estafas informáticas,996.0,1794.0,2183.0,119.2,21.7,
    13.-Otros ciberdelitos,124.0,310.0,282.0,127.4,-9.0,
    III. TOTAL INFRACCIONES PENALES,8750.0,9115.0,11797.0,34.8,29.4,
CIUDAD AUTÓNOMA DE CEUTA,
    I. CRIMINALIDAD CONVENCIONAL,4357.0,3400.0,3078.0,-29.4,-9.5,
    1. Homicidios dolosos y asesinatos consumados,4.0,2.0,4.0,0.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,16.0,10.0,31.0,93.8,210.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,44.0,73.0,75.0,70.5,2.7,
    4. Secuestro,2.0,3.0,1.0,-50.0,-66.7,
    5. Delitos contra la libertad sexual,21.0,45.0,42.0,100.0,-6.7,
    5.1.-Agresión sexual con penetración,2.0,4.0,3.0,50.0,-25.0,
    5.2.-Resto de delitos contra la libertad sexual,19.0,41.0,39.0,105.3,-4.9,
    6. Robos con violencia e intimidación,147.0,195.0,107.0,-27.2,-45.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,58.0,59.0,45.0,-22.4,-23.7,
    7.1.-Robos con fuerza en domicilios,42.0,31.0,31.0,-26.2,0.0,
    8. Hurtos,819.0,434.0,431.0,-47.4,-0.7,
    9. Sustracciones de vehículos,168.0,103.0,107.0,-36.3,3.9,
    10. Tráfico de drogas,297.0,205.0,115.0,-61.3,-43.9,
    11. Resto de criminalidad convencional,2781.0,2271.0,2120.0,-23.8,-6.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),389.0,516.0,573.0,47.3,11.0,
    12.-Estafas informáticas,324.0,402.0,474.0,46.3,17.9,
    13.-Otros ciberdelitos,65.0,114.0,99.0,52.3,-13.2,
    III. TOTAL INFRACCIONES PENALES,4746.0,3916.0,3651.0,-23.1,-6.8,
CIUDAD AUTÓNOMA DE MELILLA,
    I. CRIMINALIDAD CONVENCIONAL,5295.0,3681.0,3916.0,-26.0,6.4,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,2.0,100.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,8.0,4.0,5.0,-37.5,25.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,149.0,119.0,103.0,-30.9,-13.4,
    4. Secuestro,0.0,0.0,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,32.0,38.0,22.0,-31.3,-42.1,
    5.1.-Agresión sexual con penetración,5.0,2.0,3.0,-40.0,50.0,
    5.2.-Resto de delitos contra la libertad sexual,27.0,36.0,19.0,-29.6,-47.2,
    6. Robos con violencia e intimidación,375.0,201.0,122.0,-67.5,-39.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,98.0,70.0,86.0,-12.2,22.9,
    7.1.-Robos con fuerza en domicilios,71.0,55.0,45.0,-36.6,-18.2,
    8. Hurtos,1202.0,576.0,732.0,-39.1,27.1,
    9. Sustracciones de vehículos,76.0,35.0,80.0,5.3,128.6,
    10. Tráfico de drogas,76.0,230.0,67.0,-11.8,-70.9,
    11. Resto de criminalidad convencional,3278.0,2408.0,2697.0,-17.7,12.0,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),287.0,435.0,398.0,38.7,-8.5,
    12.-Estafas informáticas,241.0,348.0,322.0,33.6,-7.5,
    13.-Otros ciberdelitos,46.0,87.0,76.0,65.2,-12.6,
    III. TOTAL INFRACCIONES PENALES,5582.0,4116.0,4314.0,-22.7,4.8,
EN EL EXTRANJERO,
    I. CRIMINALIDAD CONVENCIONAL,9210.0,3051.0,4919.0,-46.6,61.2,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,1.0,0.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,0.0,-100.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,5.0,2.0,5.0,0.0,150.0,
    4. Secuestro,5.0,10.0,2.0,-60.0,-80.0,
    5. Delitos contra la libertad sexual,56.0,41.0,80.0,42.9,95.1,
    5.1.-Agresión sexual con penetración,19.0,9.0,15.0,-21.1,66.7,
    5.2.-Resto de delitos contra la libertad sexual,37.0,32.0,65.0,75.7,103.1,
    6. Robos con violencia e intimidación,263.0,74.0,165.0,-37.3,123.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,24.0,10.0,27.0,12.5,170.0,
    7.1.-Robos con fuerza en domicilios,17.0,9.0,17.0,0.0,88.9,
    8. Hurtos,3096.0,832.0,2075.0,-33.0,149.4,
    9. Sustracciones de vehículos,110.0,58.0,65.0,-40.9,12.1,
    10. Tráfico de drogas,15.0,17.0,23.0,53.3,35.3,
    11. Resto de criminalidad convencional,5634.0,2007.0,2476.0,-56.1,23.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),6105.0,4255.0,5143.0,-15.8,20.9,
    12.-Estafas informáticas,5812.0,4011.0,4965.0,-14.6,23.8,
    13.-Otros ciberdelitos,293.0,244.0,178.0,-39.2,-27.0,
    III. TOTAL INFRACCIONES PENALES,15315.0,7306.0,10062.0,-34.3,37.7,
Notas:
NIPO 126-20-005-0                                
                                 
 (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, Policías Autonómicas y Policías Locales que proporcionan datos  al Sistema Estadístico de Criminalidad.      
       
 (**) PAÍS VASCO: A partir del mes de octubre de 2019 en los delitos  cometidos a través de internet, la codificación del lugar de los  hechos se atribuye al municipio del domicilio de la víctima, en vez  de hacerlo, como hasta esa fecha, a un municipio sin determinar, que  se computaba al territorio de la Comisaría donde se tramitaban las  diligencias.         
                                                            
 (***) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).                      
                       
 (****) Datos de 2022 pendientes de consolidar.
Fuente: Ministerio del Interior
