
Balance de criminalidad. 2023 - 4º Trimestre - CCAA
Indicadores de seguridad 2023 - 4ºTrimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-diciembre 2022,enero-diciembre 2023,Variación % 2023/2022,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),5643.0,5174.0,-8.3,
    12.-Estafas informáticas,5451.0,4886.0,-10.4,
    13.-Otros ciberdelitos,192.0,288.0,50.0,
    III. TOTAL INFRACCIONES PENALES,10629.0,10286.0,-3.2,
Notas:
NIPO 126-20-005-0                                          
                                           
 (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, Policías Autonómicas y Policías Locales que proporcionan datos  al Sistema Estadístico de Criminalidad. En agresiones sexuales con  penetración se computan agresiones sexuales con penetración y abusos  sexuales con penetración.     
                                                                       
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).                               
                                    
 (***) Datos de 2023 pendientes de consolidar.
Fuente: Ministerio del Interior
