
Balance de criminalidad. 2023 - 3er Trimestre - CCAA
Indicadores de seguridad 2023 - 3er  Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-septiembre 2022,enero-septiembre 2023,Variación % 2023/2022,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),4143.0,4184.0,1.0,
    12.-Estafas informáticas,3994.0,3950.0,-1.1,
    13.-Otros ciberdelitos,149.0,234.0,57.0,
    III. TOTAL INFRACCIONES PENALES,7786.0,8029.0,3.1,
Notas:
NIPO 126-20-005-0                                        
                                         
 (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, Policías Autonómicas y Policías Locales que proporcionan datos  al Sistema Estadístico de Criminalidad. En agresiones sexuales con  penetración se computan agresiones sexuales con penetración y abusos  sexuales con penetración.   
                                                                       
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).                               
                                  
 (***) Datos de 2023 pendientes de consolidar.
Fuente: Ministerio del Interior
