Comunidad,Año,Trimestre,Delito,Subdelito,Cantidad
CIUDAD AUTONOMA DE CEUTA,2017,2,SECUESTRO,-,0.0
CIUDAD AUTONOMA DE CEUTA,2017,2,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,13.0
CIUDAD AUTONOMA DE CEUTA,2017,2,ROBOS,VIOLENCIA E INTIMIDACION,58.0
CIUDAD AUTONOMA DE CEUTA,2017,2,ROBOS,FUERZA,47.0
CIUDAD AUTONOMA DE CEUTA,2017,2,HURTOS,-,401.0
CIUDAD AUTONOMA DE CEUTA,2017,2,SUSTRACCION,VEHICULOS,105.0
CIUDAD AUTONOMA DE CEUTA,2017,2,TRAFICO,DROGAS,164.0
CIUDAD AUTONOMA DE MELILLA,2017,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
CIUDAD AUTONOMA DE MELILLA,2017,2,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,3.0
CIUDAD AUTONOMA DE MELILLA,2017,2,DELITOS,GRAVES Y MENOS GRAVES,42.0
CIUDAD AUTONOMA DE MELILLA,2017,2,SECUESTRO,-,0.0
CIUDAD AUTONOMA DE MELILLA,2017,2,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,14.0
CIUDAD AUTONOMA DE MELILLA,2017,2,ROBOS,VIOLENCIA E INTIMIDACION,173.0
CIUDAD AUTONOMA DE MELILLA,2017,2,ROBOS,FUERZA,78.0
CIUDAD AUTONOMA DE MELILLA,2017,2,HURTOS,-,541.0
CIUDAD AUTONOMA DE MELILLA,2017,2,SUSTRACCION,VEHICULOS,57.0
CIUDAD AUTONOMA DE MELILLA,2017,2,TRAFICO,DROGAS,25.0
FUERA DE ESPANA,2017,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
FUERA DE ESPANA,2017,2,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,0.0
FUERA DE ESPANA,2017,2,DELITOS,GRAVES Y MENOS GRAVES,2.0
FUERA DE ESPANA,2017,2,SECUESTRO,-,3.0
FUERA DE ESPANA,2017,2,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,31.0
FUERA DE ESPANA,2017,2,ROBOS,VIOLENCIA E INTIMIDACION,113.0
FUERA DE ESPANA,2017,2,ROBOS,FUERZA,11.0
FUERA DE ESPANA,2017,2,HURTOS,-,1341.0
FUERA DE ESPANA,2017,2,SUSTRACCION,VEHICULOS,44.0
FUERA DE ESPANA,2017,2,TRAFICO,DROGAS,5.0
TOTAL NACIONAL,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,236.0
TOTAL NACIONAL,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,649.0
TOTAL NACIONAL,2017,3,DELITOS,GRAVES Y MENOS GRAVES,13385.0
TOTAL NACIONAL,2017,3,SECUESTRO,-,49.0
TOTAL NACIONAL,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,8972.0
TOTAL NACIONAL,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,45833.0
TOTAL NACIONAL,2017,3,ROBOS,FUERZA,110274.0
TOTAL NACIONAL,2017,3,HURTOS,-,536284.0
TOTAL NACIONAL,2017,3,SUSTRACCION,VEHICULOS,32473.0
TOTAL NACIONAL,2017,3,TRAFICO,DROGAS,10114.0
ANDALUCIA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,38.0
ANDALUCIA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,169.0
ANDALUCIA,2017,3,DELITOS,GRAVES Y MENOS GRAVES,2260.0
ANDALUCIA,2017,3,SECUESTRO,-,13.0
ANDALUCIA,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,1572.0
ANDALUCIA,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,5693.0
ANDALUCIA,2017,3,ROBOS,FUERZA,19004.0
ANDALUCIA,2017,3,HURTOS,-,79303.0
ANDALUCIA,2017,3,SUSTRACCION,VEHICULOS,6753.0
ANDALUCIA,2017,3,TRAFICO,DROGAS,2691.0
ARAGON,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,3.0
ARAGON,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,11.0
ARAGON,2017,3,DELITOS,GRAVES Y MENOS GRAVES,303.0
ARAGON,2017,3,SECUESTRO,-,0.0
ARAGON,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,193.0
ARAGON,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,566.0
ARAGON,2017,3,ROBOS,FUERZA,1919.0
ARAGON,2017,3,HURTOS,-,8083.0
ARAGON,2017,3,SUSTRACCION,VEHICULOS,326.0
ARAGON,2017,3,TRAFICO,DROGAS,214.0
ASTURIAS (PRINCIPADO DE),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,1.0
ASTURIAS (PRINCIPADO DE),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,10.0
ASTURIAS (PRINCIPADO DE),2017,3,DELITOS,GRAVES Y MENOS GRAVES,267.0
ASTURIAS (PRINCIPADO DE),2017,3,SECUESTRO,-,0.0
ASTURIAS (PRINCIPADO DE),2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,114.0
ASTURIAS (PRINCIPADO DE),2017,3,ROBOS,VIOLENCIA E INTIMIDACION,300.0
ASTURIAS (PRINCIPADO DE),2017,3,ROBOS,FUERZA,1323.0
ASTURIAS (PRINCIPADO DE),2017,3,HURTOS,-,5511.0
ASTURIAS (PRINCIPADO DE),2017,3,SUSTRACCION,VEHICULOS,315.0
ASTURIAS (PRINCIPADO DE),2017,3,TRAFICO,DROGAS,105.0
BALEARS (ILLES),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,3.0
BALEARS (ILLES),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,19.0
BALEARS (ILLES),2017,3,DELITOS,GRAVES Y MENOS GRAVES,562.0
BALEARS (ILLES),2017,3,SECUESTRO,-,0.0
BALEARS (ILLES),2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,401.0
BALEARS (ILLES),2017,3,ROBOS,VIOLENCIA E INTIMIDACION,1062.0
BALEARS (ILLES),2017,3,ROBOS,FUERZA,3116.0
BALEARS (ILLES),2017,3,HURTOS,-,23812.0
BALEARS (ILLES),2017,3,SUSTRACCION,VEHICULOS,1320.0
BALEARS (ILLES),2017,3,TRAFICO,DROGAS,421.0
CANARIAS,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,15.0
CANARIAS,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,32.0
CANARIAS,2017,3,DELITOS,GRAVES Y MENOS GRAVES,802.0
CANARIAS,2017,3,SECUESTRO,-,4.0
CANARIAS,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,465.0
CANARIAS,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,1092.0
CANARIAS,2017,3,ROBOS,FUERZA,4119.0
CANARIAS,2017,3,HURTOS,-,22802.0
CANARIAS,2017,3,SUSTRACCION,VEHICULOS,1400.0
CANARIAS,2017,3,TRAFICO,DROGAS,465.0
CANTABRIA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,3.0
CANTABRIA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,1.0
CANTABRIA,2017,3,DELITOS,GRAVES Y MENOS GRAVES,189.0
CANTABRIA,2017,3,SECUESTRO,-,0.0
CANTABRIA,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,65.0
CANTABRIA,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,163.0
CANTABRIA,2017,3,ROBOS,FUERZA,1157.0
CANTABRIA,2017,3,HURTOS,-,3795.0
CANTABRIA,2017,3,SUSTRACCION,VEHICULOS,175.0
CANTABRIA,2017,3,TRAFICO,DROGAS,45.0
CASTILLA Y LEON,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,12.0
CASTILLA Y LEON,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,16.0
CASTILLA Y LEON,2017,3,DELITOS,GRAVES Y MENOS GRAVES,501.0
CASTILLA Y LEON,2017,3,SECUESTRO,-,1.0
CASTILLA Y LEON,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,276.0
CASTILLA Y LEON,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,550.0
CASTILLA Y LEON,2017,3,ROBOS,FUERZA,3734.0
CASTILLA Y LEON,2017,3,HURTOS,-,15597.0
CASTILLA Y LEON,2017,3,SUSTRACCION,VEHICULOS,510.0
CASTILLA Y LEON,2017,3,TRAFICO,DROGAS,258.0
CASTILLA - LA MANCHA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,11.0
CASTILLA - LA MANCHA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,27.0
CASTILLA - LA MANCHA,2017,3,DELITOS,GRAVES Y MENOS GRAVES,428.0
CASTILLA - LA MANCHA,2017,3,SECUESTRO,-,1.0
CASTILLA - LA MANCHA,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,285.0
CASTILLA - LA MANCHA,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,781.0
CASTILLA - LA MANCHA,2017,3,ROBOS,FUERZA,5688.0
CASTILLA - LA MANCHA,2017,3,HURTOS,-,11486.0
CASTILLA - LA MANCHA,2017,3,SUSTRACCION,VEHICULOS,941.0
CASTILLA - LA MANCHA,2017,3,TRAFICO,DROGAS,307.0
CATALUNA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,54.0
CATALUNA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,112.0
CATALUNA,2017,3,DELITOS,GRAVES Y MENOS GRAVES,2369.0
CATALUNA,2017,3,SECUESTRO,-,9.0
CATALUNA,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,1728.0
CATALUNA,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,15117.0
CATALUNA,2017,3,ROBOS,FUERZA,22358.0
CATALUNA,2017,3,HURTOS,-,129105.0
CATALUNA,2017,3,SUSTRACCION,VEHICULOS,6550.0
CATALUNA,2017,3,TRAFICO,DROGAS,1836.0
COMUNITAT VALENCIANA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,25.0
COMUNITAT VALENCIANA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,53.0
COMUNITAT VALENCIANA,2017,3,DELITOS,GRAVES Y MENOS GRAVES,1397.0
COMUNITAT VALENCIANA,2017,3,SECUESTRO,-,4.0
COMUNITAT VALENCIANA,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,1024.0
COMUNITAT VALENCIANA,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,4103.0
COMUNITAT VALENCIANA,2017,3,ROBOS,FUERZA,16091.0
COMUNITAT VALENCIANA,2017,3,HURTOS,-,56772.0
COMUNITAT VALENCIANA,2017,3,SUSTRACCION,VEHICULOS,3011.0
COMUNITAT VALENCIANA,2017,3,TRAFICO,DROGAS,1263.0
EXTREMADURA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,7.0
EXTREMADURA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,10.0
EXTREMADURA,2017,3,DELITOS,GRAVES Y MENOS GRAVES,274.0
EXTREMADURA,2017,3,SECUESTRO,-,0.0
EXTREMADURA,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,120.0
EXTREMADURA,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,207.0
EXTREMADURA,2017,3,ROBOS,FUERZA,1545.0
EXTREMADURA,2017,3,HURTOS,-,5359.0
EXTREMADURA,2017,3,SUSTRACCION,VEHICULOS,259.0
EXTREMADURA,2017,3,TRAFICO,DROGAS,147.0
GALICIA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,10.0
GALICIA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,22.0
GALICIA,2017,3,DELITOS,GRAVES Y MENOS GRAVES,667.0
GALICIA,2017,3,SECUESTRO,-,3.0
GALICIA,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,363.0
GALICIA,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,800.0
GALICIA,2017,3,ROBOS,FUERZA,4053.0
GALICIA,2017,3,HURTOS,-,15414.0
GALICIA,2017,3,SUSTRACCION,VEHICULOS,627.0
GALICIA,2017,3,TRAFICO,DROGAS,294.0
MADRID (COMUNIDAD DE),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,35.0
MADRID (COMUNIDAD DE),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,72.0
MADRID (COMUNIDAD DE),2017,3,DELITOS,GRAVES Y MENOS GRAVES,1556.0
MADRID (COMUNIDAD DE),2017,3,SECUESTRO,-,3.0
MADRID (COMUNIDAD DE),2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,1381.0
MADRID (COMUNIDAD DE),2017,3,ROBOS,VIOLENCIA E INTIMIDACION,12069.0
MADRID (COMUNIDAD DE),2017,3,ROBOS,FUERZA,14198.0
MADRID (COMUNIDAD DE),2017,3,HURTOS,-,115064.0
MADRID (COMUNIDAD DE),2017,3,SUSTRACCION,VEHICULOS,8116.0
MADRID (COMUNIDAD DE),2017,3,TRAFICO,DROGAS,1164.0
MURCIA (REGION DE),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,11.0
MURCIA (REGION DE),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,26.0
MURCIA (REGION DE),2017,3,DELITOS,GRAVES Y MENOS GRAVES,468.0
MURCIA (REGION DE),2017,3,SECUESTRO,-,0.0
MURCIA (REGION DE),2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,297.0
MURCIA (REGION DE),2017,3,ROBOS,VIOLENCIA E INTIMIDACION,1084.0
MURCIA (REGION DE),2017,3,ROBOS,FUERZA,5058.0
MURCIA (REGION DE),2017,3,HURTOS,-,11413.0
MURCIA (REGION DE),2017,3,SUSTRACCION,VEHICULOS,1026.0
MURCIA (REGION DE),2017,3,TRAFICO,DROGAS,232.0
NAVARRA (COMUNIDAD FORAL DE),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,4.0
NAVARRA (COMUNIDAD FORAL DE),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,19.0
NAVARRA (COMUNIDAD FORAL DE),2017,3,DELITOS,GRAVES Y MENOS GRAVES,303.0
NAVARRA (COMUNIDAD FORAL DE),2017,3,SECUESTRO,-,1.0
NAVARRA (COMUNIDAD FORAL DE),2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,188.0
NAVARRA (COMUNIDAD FORAL DE),2017,3,ROBOS,VIOLENCIA E INTIMIDACION,353.0
NAVARRA (COMUNIDAD FORAL DE),2017,3,ROBOS,FUERZA,1165.0
NAVARRA (COMUNIDAD FORAL DE),2017,3,HURTOS,-,5967.0
NAVARRA (COMUNIDAD FORAL DE),2017,3,SUSTRACCION,VEHICULOS,131.0
NAVARRA (COMUNIDAD FORAL DE),2017,3,TRAFICO,DROGAS,98.0
PAIS VASCO,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,3.0
PAIS VASCO,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,33.0
PAIS VASCO,2017,3,DELITOS,GRAVES Y MENOS GRAVES,815.0
PAIS VASCO,2017,3,SECUESTRO,-,5.0
PAIS VASCO,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,370.0
PAIS VASCO,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,1264.0
PAIS VASCO,2017,3,ROBOS,FUERZA,5013.0
PAIS VASCO,2017,3,HURTOS,-,21105.0
PAIS VASCO,2017,3,SUSTRACCION,VEHICULOS,632.0
PAIS VASCO,2017,3,TRAFICO,DROGAS,259.0
RIOJA (LA),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
RIOJA (LA),2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,5.0
RIOJA (LA),2017,3,DELITOS,GRAVES Y MENOS GRAVES,96.0
RIOJA (LA),2017,3,SECUESTRO,-,0.0
RIOJA (LA),2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,42.0
RIOJA (LA),2017,3,ROBOS,VIOLENCIA E INTIMIDACION,77.0
RIOJA (LA),2017,3,ROBOS,FUERZA,532.0
RIOJA (LA),2017,3,HURTOS,-,1909.0
RIOJA (LA),2017,3,SUSTRACCION,VEHICULOS,60.0
RIOJA (LA),2017,3,TRAFICO,DROGAS,62.0
CIUDAD AUTONOMA DE CEUTA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,1.0
CIUDAD AUTONOMA DE CEUTA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,6.0
CIUDAD AUTONOMA DE CEUTA,2017,3,DELITOS,GRAVES Y MENOS GRAVES,44.0
CIUDAD AUTONOMA DE CEUTA,2017,3,SECUESTRO,-,0.0
CIUDAD AUTONOMA DE CEUTA,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,18.0
CIUDAD AUTONOMA DE CEUTA,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,91.0
CIUDAD AUTONOMA DE CEUTA,2017,3,ROBOS,FUERZA,62.0
CIUDAD AUTONOMA DE CEUTA,2017,3,HURTOS,-,625.0
CIUDAD AUTONOMA DE CEUTA,2017,3,SUSTRACCION,VEHICULOS,160.0
CIUDAD AUTONOMA DE CEUTA,2017,3,TRAFICO,DROGAS,199.0
CIUDAD AUTONOMA DE MELILLA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
CIUDAD AUTONOMA DE MELILLA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,6.0
CIUDAD AUTONOMA DE MELILLA,2017,3,DELITOS,GRAVES Y MENOS GRAVES,81.0
CIUDAD AUTONOMA DE MELILLA,2017,3,SECUESTRO,-,0.0
CIUDAD AUTONOMA DE MELILLA,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,22.0
CIUDAD AUTONOMA DE MELILLA,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,274.0
CIUDAD AUTONOMA DE MELILLA,2017,3,ROBOS,FUERZA,116.0
CIUDAD AUTONOMA DE MELILLA,2017,3,HURTOS,-,848.0
CIUDAD AUTONOMA DE MELILLA,2017,3,SUSTRACCION,VEHICULOS,91.0
CIUDAD AUTONOMA DE MELILLA,2017,3,TRAFICO,DROGAS,47.0
FUERA DE ESPANA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
FUERA DE ESPANA,2017,3,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,0.0
FUERA DE ESPANA,2017,3,DELITOS,GRAVES Y MENOS GRAVES,3.0
FUERA DE ESPANA,2017,3,SECUESTRO,-,5.0
FUERA DE ESPANA,2017,3,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,48.0
FUERA DE ESPANA,2017,3,ROBOS,VIOLENCIA E INTIMIDACION,187.0
FUERA DE ESPANA,2017,3,ROBOS,FUERZA,23.0
FUERA DE ESPANA,2017,3,HURTOS,-,2314.0
FUERA DE ESPANA,2017,3,SUSTRACCION,VEHICULOS,70.0
FUERA DE ESPANA,2017,3,TRAFICO,DROGAS,7.0
TOTAL NACIONAL,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,307.0
TOTAL NACIONAL,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,799.0
TOTAL NACIONAL,2017,4,DELITOS,GRAVES Y MENOS GRAVES,18086.0
TOTAL NACIONAL,2017,4,SECUESTRO,-,69.0
TOTAL NACIONAL,2017,4,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,11692.0
TOTAL NACIONAL,2017,4,ROBOS,VIOLENCIA E INTIMIDACION,61763.0
TOTAL NACIONAL,2017,4,ROBOS,FUERZA,149651.0
TOTAL NACIONAL,2017,4,HURTOS,-,712398.0
TOTAL NACIONAL,2017,4,SUSTRACCION,VEHICULOS,42519.0
TOTAL NACIONAL,2017,4,TRAFICO,DROGAS,12958.0
TOTAL NACIONAL,2017,4,RESTO CRIMINALIDAD CONVENCIONAL,-,1035542.0
ANDALUCIA,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,49.0
ANDALUCIA,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,207.0
ANDALUCIA,2017,4,DELITOS,GRAVES Y MENOS GRAVES,2930.0
ANDALUCIA,2017,4,SECUESTRO,-,15.0
ANDALUCIA,2017,4,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,2064.0
ANDALUCIA,2017,4,ROBOS,VIOLENCIA E INTIMIDACION,7668.0
ANDALUCIA,2017,4,ROBOS,FUERZA,24718.0
ANDALUCIA,2017,4,HURTOS,-,103746.0
ANDALUCIA,2017,4,SUSTRACCION,VEHICULOS,8755.0
ANDALUCIA,2017,4,TRAFICO,DROGAS,3472.0
ANDALUCIA,2017,4,RESTO CRIMINALIDAD CONVENCIONAL,-,180707.0
ARAGON,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,8.0
ARAGON,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,15.0
ARAGON,2017,4,DELITOS,GRAVES Y MENOS GRAVES,390.0
ARAGON,2017,4,SECUESTRO,-,0.0
ARAGON,2017,4,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,274.0
ARAGON,2017,4,ROBOS,VIOLENCIA E INTIMIDACION,798.0
ARAGON,2017,4,ROBOS,FUERZA,2555.0
ARAGON,2017,4,HURTOS,-,11004.0
ARAGON,2017,4,SUSTRACCION,VEHICULOS,392.0
ARAGON,2017,4,TRAFICO,DROGAS,270.0
ARAGON,2017,4,RESTO CRIMINALIDAD CONVENCIONAL,-,22172.0
ASTURIAS (PRINCIPADO DE),2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,5.0
ASTURIAS (PRINCIPADO DE),2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,11.0
ASTURIAS (PRINCIPADO DE),2017,4,DELITOS,GRAVES Y MENOS GRAVES,328.0
ASTURIAS (PRINCIPADO DE),2017,4,SECUESTRO,-,0.0
ASTURIAS (PRINCIPADO DE),2017,4,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,146.0
ASTURIAS (PRINCIPADO DE),2017,4,ROBOS,VIOLENCIA E INTIMIDACION,371.0
ASTURIAS (PRINCIPADO DE),2017,4,ROBOS,FUERZA,1737.0
ASTURIAS (PRINCIPADO DE),2017,4,HURTOS,-,7261.0
ASTURIAS (PRINCIPADO DE),2017,4,SUSTRACCION,VEHICULOS,394.0
ASTURIAS (PRINCIPADO DE),2017,4,TRAFICO,DROGAS,130.0
ASTURIAS (PRINCIPADO DE),2017,4,RESTO CRIMINALIDAD CONVENCIONAL,-,15269.0
BALEARS (ILLES),2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,4.0
BALEARS (ILLES),2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,28.0
BALEARS (ILLES),2017,4,DELITOS,GRAVES Y MENOS GRAVES,705.0
BALEARS (ILLES),2017,4,SECUESTRO,-,0.0
BALEARS (ILLES),2017,4,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,517.0
BALEARS (ILLES),2017,4,ROBOS,VIOLENCIA E INTIMIDACION,1354.0
BALEARS (ILLES),2017,4,ROBOS,FUERZA,4281.0
BALEARS (ILLES),2017,4,HURTOS,-,29183.0
BALEARS (ILLES),2017,4,SUSTRACCION,VEHICULOS,1717.0
BALEARS (ILLES),2017,4,TRAFICO,DROGAS,483.0
BALEARS (ILLES),2017,4,RESTO CRIMINALIDAD CONVENCIONAL,-,33885.0
CANARIAS,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,20.0
CANARIAS,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,36.0
CANARIAS,2017,4,DELITOS,GRAVES Y MENOS GRAVES,1058.0
CANARIAS,2017,4,SECUESTRO,-,4.0
CANARIAS,2017,4,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,625.0
CANARIAS,2017,4,ROBOS,VIOLENCIA E INTIMIDACION,1436.0
CANARIAS,2017,4,ROBOS,FUERZA,5347.0
CANARIAS,2017,4,HURTOS,-,30127.0
CANARIAS,2017,4,SUSTRACCION,VEHICULOS,1797.0
CANARIAS,2017,4,TRAFICO,DROGAS,597.0
CANARIAS,2017,4,RESTO CRIMINALIDAD CONVENCIONAL,-,50312.0
CANTABRIA,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,3.0
CANTABRIA,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,4.0
CANTABRIA,2017,4,DELITOS,GRAVES Y MENOS GRAVES,245.0
CANTABRIA,2017,4,SECUESTRO,-,0.0
CANTABRIA,2017,4,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,84.0
CANTABRIA,2017,4,ROBOS,VIOLENCIA E INTIMIDACION,214.0
CANTABRIA,2017,4,ROBOS,FUERZA,1639.0
CANTABRIA,2017,4,HURTOS,-,4983.0
CANTABRIA,2017,4,SUSTRACCION,VEHICULOS,207.0
CANTABRIA,2017,4,TRAFICO,DROGAS,63.0
CANTABRIA,2017,4,RESTO CRIMINALIDAD CONVENCIONAL,-,9998.0
CASTILLA Y LEON,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,13.0
CASTILLA Y LEON,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,17.0
CASTILLA Y LEON,2017,4,DELITOS,GRAVES Y MENOS GRAVES,647.0
CASTILLA Y LEON,2017,4,SECUESTRO,-,2.0
CASTILLA Y LEON,2017,4,DELITOS,LIBERTAD E INDEMNIDAD SEXUAL,368.0
CASTILLA Y LEON,2017,4,ROBOS,VIOLENCIA E INTIMIDACION,726.0
CASTILLA Y LEON,2017,4,ROBOS,FUERZA,5184.0
CASTILLA Y LEON,2017,4,HURTOS,-,21070.0
CASTILLA Y LEON,2017,4,SUSTRACCION,VEHICULOS,659.0
CASTILLA Y LEON,2017,4,TRAFICO,DROGAS,334.0
CASTILLA Y LEON,2017,4,RESTO CRIMINALIDAD CONVENCIONAL,-,42854.0
CASTILLA - LA MANCHA,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,12.0
CASTILLA - LA MANCHA,2017,4,HOMICIDIOS,DOLOSOS Y ASESINATOS TENTATIVOS,34.0
CASTILLA - LA MANCHA,2017,4,DELITOS,GRAVES Y MENOS GRAVES,573.0
CASTILLA - LA MANCHA,2017,4,SECUESTRO,-,2.0
